Time(year-month-day h:m:s),Wind speed at height of 10 meters (m/s),Wind direction at height of 10 meters (˚),Wind speed at height of 30 meters (m/s),Wind direction at height of 30 meters (˚),Wind speed at height of 50 meters (m/s),Wind direction at height of 50 meters (˚),Wind speed - at the height of wheel hub(m/s),Wind speed - at the height of wheel hub (˚),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2020-01-01 00:00:00,0.14823188930089534,0.652077664399093,0.0,140.657,0.0,128.367,0.0,124.0,0.30805860805860796,0.8822442244224362,0.17072711880349922,0.24
2020-01-01 00:15:00,0.021072623677308493,0.6532511337868481,0.0,140.708,0.0,128.333,0.0,124.0,0.33333333333333326,0.8294389438943739,0.17558711943059602,0.23
2020-01-01 00:30:00,0.0,0.6536281179138321,0.0,140.553,0.0,128.133,0.43,124.0,0.3263736263736263,0.8822442244224362,0.1724829899978052,0.24
2020-01-01 00:45:00,0.06403183503662838,0.6531746031746032,0.0,140.506,0.0,128.1,0.0,124.133,0.3178440607012035,0.8954455445544482,0.18018060389427148,0.23
2020-01-01 01:00:00,0.015917518314190103,0.652984693877551,0.0,140.434,0.0,128.4,0.0,124.0,0.30695970695970687,0.8954455445544482,0.1867807982942966,0.23
2020-01-01 01:15:00,0.017455005878628922,0.6605640589569161,0.0,140.478,0.0,128.2,0.0,123.867,0.29931972789115646,0.8426402640264001,0.1928009281033456,0.23
2020-01-01 01:30:00,0.09677127611467849,0.6770408163265307,0.0,140.56,0.0,128.433,0.0,124.0,0.2862375719518576,0.789834983498352,0.19523092841689393,0.23
2020-01-01 01:45:00,0.17210816677218052,0.6317091836734694,0.0,140.613,0.0,129.733,0.658,124.0,0.3036630036630037,0.8822442244224362,0.1914683472862384,0.24
2020-01-01 02:00:00,0.16333544361038255,0.6473724489795918,0.0,140.953,0.0,129.8,0.0,124.0,0.3227629513343798,0.8558415841584122,0.17684131314081464,0.24
2020-01-01 02:15:00,0.003255856018811612,0.6477692743764172,0.0,140.535,0.0,128.933,0.0,124.0,0.3200418628990057,0.8426402640264001,0.1767472486125482,0.24
2020-01-01 02:30:00,0.11060866419462784,0.6654563492063492,0.0,140.803,0.0,128.8,0.0,124.0,0.30151753008895865,0.86904290429041,0.18853666948860248,0.25
2020-01-01 02:45:00,0.1200144704711947,0.6692176870748299,0.0,140.558,0.0,128.333,0.0,123.867,0.3036630036630037,0.8294389438943739,0.18662402408051915,0.25
2020-01-01 03:00:00,0.16405896717011847,0.6805187074829931,0.0,140.649,0.0,128.733,0.0,124.0,0.30083725798011507,0.8954455445544482,0.19171918602828208,0.25
